subset,primary_keys,primary_key_value,source_snapshot_id,conflict_type,rows_in_conflict
snapshots,snapshot_timestamp_utc,2026-02-05 02:53:58.378301+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 03:53:58.379833+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 04:53:58.407861+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 05:53:58.371164+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 06:53:58.481399+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 07:53:58.336002+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 08:53:58.370365+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 09:53:58.341626+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 10:53:58.379930+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 11:53:58.410929+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 12:53:58.446830+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 13:53:58.357387+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 14:53:58.419521+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 15:53:58.380778+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 16:53:58.408587+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 17:53:58.425503+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 18:53:58.479918+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 19:53:58.430705+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 20:53:58.434133+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 21:53:58.415904+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 22:53:58.387001+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-05 23:53:58.423860+00:00,2026-02-05,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 00:53:58.578075+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 01:53:58.413078+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 02:53:58.372322+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 03:53:58.348024+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 04:53:58.358403+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 05:53:58.300510+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 06:53:58.437661+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 07:53:58.380952+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 08:53:58.395355+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 09:53:58.387008+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 10:53:58.403513+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 11:53:58.438991+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 12:53:58.435568+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 13:53:58.485638+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 14:53:58.504693+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 15:53:58.406203+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 16:53:58.411821+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 17:53:58.454142+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 18:53:58.631056+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 19:53:58.461140+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 20:53:58.484398+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 21:53:58.515291+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 22:53:58.454993+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-06 23:53:58.456661+00:00,2026-02-06,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 00:53:58.643609+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 01:53:58.520253+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 02:53:58.452250+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 03:53:58.491512+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 04:53:58.532160+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 05:53:58.463801+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 06:53:58.512129+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 07:53:58.538888+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 08:53:58.533571+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 09:53:58.501477+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 10:53:58.976765+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 11:53:59.239258+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 12:53:58.481808+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 13:53:58.558359+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 14:53:58.495591+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 15:53:58.537129+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 16:53:58.465064+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 17:53:58.506876+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 18:53:58.586548+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 19:53:58.576063+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 20:53:58.516881+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 21:53:58.633739+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 22:53:58.568021+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-07 23:53:58.587207+00:00,2026-02-07,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 00:53:58.554548+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 01:53:58.514519+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 02:53:58.554012+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 03:53:58.584838+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 04:53:58.477044+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 05:53:58.602044+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 06:53:58.528380+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 07:53:58.470190+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 08:53:58.452276+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 09:53:58.496846+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 10:53:58.649174+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 11:53:58.511439+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 12:53:59.104920+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 13:53:58.614319+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 14:53:58.952471+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 15:53:58.528301+00:00,2026-02-08,same_snapshot_conflict,2
snapshots,snapshot_timestamp_utc,2026-02-08 16:53:58.646167+00:00,2026-02-08,same_snapshot_conflict,2
